3.53, 3, white, Entry
3.53, 3, white, Exit
3.53, 4, white, Entry
3.57, 4, white, Exit
3.57, 1, white, Entry
3.57, 1, white, Exit
3.57, 4, white, Entry
3.63, 4, white, Exit
3.63, 1, white, Entry
3.63, 1, white, Exit
3.63, 4, white, Entry
3.67, 4, white, Exit
3.67, 1, white, Entry
3.67, 1, white, Exit
3.67, 4, white, Entry
3.7, 4, white, Exit
3.7, 3, white, Entry
3.7, 3, white, Exit
3.7, 4, white, Entry
3.73, 4, white, Exit
3.73, 1, white, Entry
3.73, 1, white, Exit
3.73, 4, white, Entry
3.77, 4, white, Exit
3.77, 1, white, Entry
3.77, 1, white, Exit
3.77, 4, white, Entry
3.77, 4, white, Exit
3.77, 3, white, Entry
3.77, 3, white, Exit
3.77, 4, white, Entry
3.8, 4, white, Exit
3.8, 3, white, Entry
3.8, 3, white, Exit
3.8, 4, white, Entry
3.87, 4, white, Exit
3.87, 1, white, Entry
3.87, 1, white, Exit
3.87, 4, white, Entry
3.9, 4, white, Exit
3.9, 1, white, Entry
3.9, 1, white, Exit
3.9, 4, white, Entry
3.9, 4, white, Exit
3.9, 3, white, Entry
3.9, 3, white, Exit
3.9, 4, white, Entry
3.93, 4, white, Exit
3.93, 1, white, Entry
3.93, 1, white, Exit
3.93, 4, white, Entry
3.97, 4, white, Exit
3.97, 3, white, Entry
3.97, 3, white, Exit
3.97, 4, white, Entry
4.0, 4, white, Exit
4.0, 1, white, Entry
4.0, 1, white, Exit
4.0, 4, white, Entry
4.13, 4, white, Exit
4.13, 3, white, Entry
4.13, 3, white, Exit
4.13, 4, white, Entry
4.2, 4, white, Exit
4.2, 1, white, Entry
4.2, 1, white, Exit
4.2, 4, white, Entry
4.2, 4, white, Exit
4.2, 3, white, Entry
4.2, 3, white, Exit
4.2, 4, white, Entry
4.27, 4, white, Exit
4.27, 1, white, Entry
4.27, 1, white, Exit
4.27, 4, white, Entry
4.3, 4, white, Exit
4.3, 1, white, Entry
4.3, 1, white, Exit
4.3, 4, white, Entry
4.33, 4, white, Exit
4.33, 1, white, Entry
4.33, 1, white, Exit
4.33, 4, white, Entry
4.37, 4, orange, Exit
4.37, 1, orange, Entry
4.37, 1, orange, Exit
4.37, 4, orange, Entry
4.4, 4, white, Exit
4.4, 1, white, Entry
4.4, 1, white, Exit
4.4, 4, white, Entry
4.4, 4, orange, Exit
4.4, 1, orange, Entry
4.4, 1, orange, Exit
4.4, 4, orange, Entry
4.43, 4, white, Exit
4.43, 1, white, Entry
4.43, 1, white, Exit
4.43, 4, white, Entry
4.43, 4, white, Exit
4.43, 3, white, Entry
4.43, 3, white, Exit
4.43, 4, white, Entry
4.47, 4, orange, Exit
4.47, 1, orange, Entry
4.47, 1, orange, Exit
4.47, 4, orange, Entry
4.5, 4, white, Exit
4.5, 3, white, Entry
4.5, 3, white, Exit
4.5, 4, white, Entry
4.53, 4, white, Exit
4.53, 3, white, Entry
4.53, 3, white, Exit
4.53, 4, white, Entry
4.6, 4, white, Exit
4.6, 1, white, Entry
4.6, 1, white, Exit
4.6, 4, white, Entry
4.6, 4, orange, Exit
4.6, 1, orange, Entry
4.6, 1, orange, Exit
4.6, 4, orange, Entry
4.63, 4, white, Exit
4.63, 1, white, Entry
4.63, 1, white, Exit
4.63, 4, white, Entry
4.63, 4, white, Exit
4.63, 3, white, Entry
4.63, 3, white, Exit
4.63, 4, white, Entry
4.67, 4, white, Exit
4.67, 1, white, Entry
4.67, 1, white, Exit
4.67, 4, white, Entry
4.67, 4, white, Exit
4.67, 3, white, Entry
4.67, 3, white, Exit
4.67, 4, white, Entry
4.67, 4, orange, Exit
4.67, 1, orange, Entry
4.67, 1, orange, Exit
4.67, 4, orange, Entry
4.7, 4, white, Exit
4.7, 1, white, Entry
4.7, 1, white, Exit
4.7, 4, white, Entry
4.7, 4, white, Exit
4.7, 3, white, Entry
4.7, 3, white, Exit
4.7, 4, white, Entry
4.7, 4, white, Exit
4.7, 3, white, Entry
4.7, 3, white, Exit
4.7, 4, white, Entry
4.73, 4, white, Exit
4.73, 1, white, Entry
4.73, 1, white, Exit
4.73, 4, white, Entry
4.73, 4, white, Exit
4.73, 3, white, Entry
4.73, 3, white, Exit
4.73, 4, white, Entry
4.73, 4, white, Exit
4.73, 3, white, Entry
4.73, 3, white, Exit
4.73, 4, white, Entry
4.77, 4, white, Exit
4.77, 1, white, Entry
4.77, 1, white, Exit
4.77, 4, white, Entry
4.77, 4, white, Exit
4.77, 3, white, Entry
4.77, 3, white, Exit
4.77, 4, white, Entry
4.8, 4, white, Exit
4.8, 1, white, Entry
4.8, 1, white, Exit
4.8, 4, white, Entry
4.8, 4, white, Exit
4.8, 3, white, Entry
4.8, 3, white, Exit
4.8, 4, white, Entry
4.83, 4, white, Exit
4.83, 1, white, Entry
4.83, 1, white, Exit
